,Trial,filekey,Phase,Start,End,notes
,211130_animal_trial_13,09,A,2021-11-30 16:44:39.411000+00:00,2021-11-30 16:49:16.145000+00:00,
,211130_animal_trial_13,09,B,2021-11-30 18:20:19.579000+00:00,2021-11-30 18:21:46.415000+00:00,
,211130_animal_trial_13,09,C,2021-11-30 18:22:05.247000+00:00,2021-11-30 18:25:08.181000+00:00,
,211130_animal_trial_13,08,D,2021-11-30 14:46:12.793000+00:00,2021-11-30 15:15:24.586000+00:00,vielleicht bisschen viel
,211130_animal_trial_13,06,E,2021-11-30 12:06:17.126000+00:00,2021-11-30 12:57:43.390000+00:00,vielleicht bisschen viel
,211116_animal_trial_10,02,F,2021-11-16 05:51:14.190000+00:00,2021-11-16 05:59:33.857000+00:00,
,211116_animal_trial_10,02,G,2021-11-16 06:11:36.765000+00:00,2021-11-16 06:12:20.966000+00:00,
,211116_animal_trial_10,02,H,2021-11-16 06:17:07.336000+00:00,2021-11-16 06:17:27.904000+00:00,
,211123_animal_trial_11,01,I,2021-11-23 03:44:43.699000+00:00 ,2021-11-23 03:49:54.899000+00:00,
,211116_animal_trial_10,01,J,2021-11-16 03:31:18.452000+00:00,2021-11-16 03:31:29.288000+00:00,
,211116_animal_trial_10,01,K,2021-11-16 03:32:14.421000+00:00,2021-11-16 03:52:15.399000+00:00,
,211116_animal_trial_10,01,L,2021-11-16 03:58:06.670000+00:00,2021-11-16 03:58:34.103000+00:00,
,211116_animal_trial_10,01,M,2021-11-16 05:06:00.298000+00:00,2021-11-16 05:48:07.373000+00:00,Vielleicht ein bisschen zu viel
,211116_animal_trial_10,02,N,2021-11-16 05:51:20.054000+00:00,2021-11-16 05:59:22.593000+00:00,sehr aehnlich zu zeile 14
,211116_animal_trial_10,02,O,2021-11-16 06:22:54.975000+00:00,2021-11-16 06:23:14.244000+00:00,
,211116_animal_trial_10,02,P,2021-11-16 06:29:04.447000+00:00,2021-11-16 06:29:26.816000+00:00,
,211116_animal_trial_10,02,Q,2021-11-16 06:34:39.287000+00:00,2021-11-16 06:35:49.552000+00:00,
,211116_animal_trial_10,02,R,2021-11-16 06:36:34.221000+00:00,2021-11-16 06:36:47.253000+00:00,
,211116_animal_trial_10,02,S,2021-11-16 07:00:22.380000+00:00,2021-11-16 07:00:41.812000+00:00,
,211116_animal_trial_10,02,T,2021-11-16 07:03:52.848000+00:00,2021-11-16 07:04:20.013000+00:00,
,211116_animal_trial_10,05,U,2021-11-16 10:19:49.825000+00:00,2021-11-16 10:20:38.525000+00:00,
,211116_animal_trial_10,05,V,2021-11-16 10:33:37.283000+00:00,2021-11-16 10:40:34.452000+00:00,
,211214_animal_trial_17,01,W,2021-12-14 03:49:28.217000+00:00,2021-12-14 03:50:49.418000+00:00,
,211214_animal_trial_17,01,X,2021-12-14 03:51:17.786000+00:00,2021-12-14 03:51:29.986000+00:00,
,211214_animal_trial_17,01,Y,2021-12-14 03:53:44.351000+00:00,2021-12-14 03:53:57.051000+00:00,
,211214_animal_trial_17,01,Z,2021-12-14 03:55:40.884000+00:00,2021-12-14 03:55:59.948000+00:00,
,211214_animal_trial_17,01,AA,2021-12-14 04:00:01.814000+00:00,2021-12-14 04:00:04.946000+00:00,
,211214_animal_trial_17,01,BB,2021-12-14 04:01:56.747000+00:00,2021-12-14 04:05:01.812000+00:00,
,211214_animal_trial_17,01,CC,2021-12-14 04:49:15.454000+00:00,2021-12-14 04:52:05.587000+00:00,
,211214_animal_trial_17,03,DD,2021-12-14 08:03:06.668000+00:00,2021-12-14 08:06:47.134000+00:00,
,211214_animal_trial_17,03,EE,2021-12-14 08:20:15.235000+00:00,2021-12-14 08:21:25.803000+00:00,
,211215_animal_trial_18,05,FF,2021-12-15 11:13:45.287000+00:00,2021-12-15 11:14:31.023000+00:00,
,211215_animal_trial_18,05,HH,2021-12-15 11:15:08.119000+00:00,2021-12-15 11:15:18.255000+00:00,
,211215_animal_trial_18,03,JJ,2021-12-15 08:18:57.703000+00:00,2021-12-15 08:30:13.913000+00:00,
,211210_animal_trial_16,03,KK,2021-12-10 06:55:56.996000+00:00,2021-12-10 06:57:53.061000+00:00,
,211210_animal_trial_16,03,LL,2021-12-10 07:00:54.926000+00:00,2021-12-10 07:01:32.390000+00:00,
,211210_animal_trial_16,03,MM,2021-12-10 07:06:30.525000+00:00,2021-12-10 07:06:51.193000+00:00,
,211210_animal_trial_16,03,NN,2021-12-10 07:09:27.126000+00:00,2021-12-10 07:09:34.826000+00:00,
,211210_animal_trial_16,03,OO,2021-12-10 07:21:57.492000+00:00,2021-12-10 07:22:34.728000+00:00,
,211210_animal_trial_16,03,PP,2021-12-10 07:31:59.760000+00:00,2021-12-10 07:32:17.760000+00:00,
,211123_animal_trial_11,03,QQ,2021-11-23 07:45:14.667000+00:00,2021-12-23 07:45:18.866000+00:00,
,211123_animal_trial_11,03,RR,2021-11-23 07:45:39.566000+00:00,2021-12-23 07:45:45.298000+00:00,
,211123_animal_trial_11,03,SS,2021-11-23 07:47:22.332000+00:00,2021-12-23 08:03:26.230000+00:00,
,211209_animal_trial_15,02,TT,2021-12-09 06:31:10.608000+00:00,2021-12-09 06:33:25.441000+00:00,
,211209_animal_trial_15,02,UU,2021-12-09 06:44:08.138000+00:00,2021-12-09 06:44:13.038000+00:00,
,211209_animal_trial_15,02,VV,2021-12-09 06:45:16.403000+00:00,2021-12-09 06:47:05.471000+00:00,
,211209_animal_trial_15,02,WW,2021-12-09 07:29:10.314000+00:00,2021-12-09 07:30:11.178000+00:00,
